tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-18 00:00:00,1994-06-03 00:00:00,1173,BERAZATEGUI Nº 2,Buenos Aires,Nacional,1173,,FURGON VIDRID.C/ASIE,1173,RENAULT,1173,RENAULT TRAFIC,1173,Privado,Física,BERAZATEGUI,BUENOS AIRES,Masculino,1173,ARGENTINA,1173,1173,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-31 00:00:00,2000-10-27 00:00:00,1120,LA MATANZA Nº 03,Buenos Aires,Nacional,1120,,SEDAN,1120,CHEVROLET,1120,CORSA 3P CITI 1.0 N,1120,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Femenino,1120,ARGENTINA,1120,1120,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-11 00:00:00,1994-04-28 00:00:00,2086,CAPITAL FEDERAL Nº 086,Ciudad Autónoma de Bs.As.,Nacional,2086,,FUR.VIDRIADO C/ASIEN,2086,RENAULT,2086,RENAULT TRAFIC,2086,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,2086,PERU,2086,2086,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-10 00:00:00,1992-03-27 00:00:00,1119,MORON Nº 03,Buenos Aires,Importado,1119,,RURAL 4 PTAS.,1119,NISSAN,1119,PATHFINDER SE-V6,1119,Privado,Física,HAEDO,BUENOS AIRES,No identificado,1119,ARGENTINA,1119,1119,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-24 00:00:00,2000-11-01 00:00:00,1118,QUILMES Nº 2,Buenos Aires,Nacional,1118,,SEDAN 4 PUERTAS,1118,CHEVROLET,1118,CORSA 4 PUERTAS WIND 1.6 MPFI,1118,Privado,Física,QUILMES OESTE,BUENOS AIRES,Masculino,1118,ARGENTINA,1118,1118,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-03 00:00:00,1995-11-10 00:00:00,4058,EMBALSE,Córdoba,Nacional,4058,,CHASIS C/CABINA P/CA,4058,MERCEDES BENZ,4058,BM386 VERSION 1633,4058,Privado,Física,VILLA RUMIPAL,CORDOBA,Masculino,4058,ARGENTINA,4058,4058,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-12 00:00:00,2000-04-05 00:00:00,1113,SAN VICENTE,Buenos Aires,Nacional,1113,,3 PTAS,1113,CHEVROLET,1113,CORSA 3 DOOR WIND 1.6 MPFI,1113,Privado,Física,GUERNICA,BUENOS AIRES,Femenino,1113,PARAGUAY,1113,1113,PRY
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-18 00:00:00,1997-11-18 00:00:00,6004,MACHAGAI,Chaco,Protocolo 21,6004,,FURGON VIDRIADO C/ ASIENTOS,6004,RENAULT,6004,EXPRESS,6004,Privado,Física,COLONIAS UNIDAS,CHACO,Masculino,6004,ARGENTINA,6004,6004,ARG
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-06 00:00:00,2014-06-09 00:00:00,2045,CAPITAL FEDERAL Nº 045,Ciudad Autónoma de Bs.As.,Protocolo 21,2045,,TRANSPORTE DE CARGA,2045,MERCEDES BENZ,2045,710,2045,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2045,No aplica,2045,2045,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-01-28 00:00:00,1998-06-12 00:00:00,2078,CAPITAL FEDERAL Nº 078,Ciudad Autónoma de Bs.As.,Nacional,2078,,BERLINA 5 PTAS.,2078,RENAULT,2078,CLIO DIESEL 5P DA AA,2078,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,2078,ARGENTINA,2078,2078,ARG
